gid,gcode,date,home,home_score,away,away_score,national_tv
0011500001,20151002/DENLAC,2015-10-02,LAC,103,DEN,96,NBATV
0011500002,20151003/CHAORL,2015-10-03,ORL,100,CHA,106,NA
0011500003,20151003/NOPIND,2015-10-03,IND,105,NOP,110,NA
0011500004,20151004/UTALAL,2015-10-04,LAL,71,UTA,90,NBATV
0011500005,20151004/LACTOR,2015-10-04,TOR,93,LAC,73,NA
0011500006,20151004/CHAMIA,2015-10-04,MIA,77,CHA,90,NA
0011500007,20151005/SACPOR,2015-10-05,POR,105,SAC,109,NA
0011500008,20151005/FENBKN,2015-10-05,BKN,96,FEN,101,NA
0011500009,20151005/TORGSW,2015-10-05,GSW,95,TOR,87,NA
0011500011,20151006/PHIWAS,2015-10-06,WAS,129,PHI,95,NBATV
0011500012,20151006/MILCHI,2015-10-06,CHI,105,MIL,95,NA
0011500013,20151006/HOUMEM,2015-10-06,MEM,92,HOU,89,NA
0011500014,20151006/INDDET,2015-10-06,DET,112,IND,115,NA
0011500015,20151006/DENDAL,2015-10-06,DAL,86,DEN,96,NA
0011500016,20151006/BOSMLN,2015-10-06,MLN,91,BOS,124,NBATV
0011500010,20151007/UTALAL,2015-10-07,LAL,114,UTA,117,NBATV
0011500017,20151007/ATLCLE,2015-10-07,CLE,96,ATL,98,NBATV
0011500018,20151007/OKCMIN,2015-10-07,MIN,99,OKC,122,NA
0011500019,20151007/DALHOU,2015-10-07,HOU,109,DAL,82,NA
0011500020,20151007/SACPHX,2015-10-07,PHX,102,SAC,98,NA
0011500021,20151007/BAUNYK,2015-10-07,NYK,100,BAU,81,NA
0011500022,20151007/ORLMIA,2015-10-07,MIA,97,ORL,100,NA
0011500023,20151008/CLEPHI,2015-10-08,PHI,115,CLE,114,NBATV
0011500024,20151008/MACMEM,2015-10-08,MEM,97,MAC,84,NA
0011500025,20151008/CHIDEN,2015-10-08,DEN,112,CHI,94,NA
0011500026,20151008/GSWPOR,2015-10-08,POR,118,GSW,101,NA
0011500027,20151008/SASSAC,2015-10-08,SAC,95,SAS,92,NA
0011500028,20151008/TORLAL,2015-10-08,LAL,97,TOR,105,NBATV
0011500029,20151008/BKNDET,2015-10-08,DET,83,BKN,93,NA
0011500030,20151008/BOSRMD,2015-10-08,RMD,96,BOS,111,NBATV
0011500033,20151008/ORLIND,2015-10-08,IND,97,ORL,92,NA
0011500031,20151009/NYKWAS,2015-10-09,WAS,104,NYK,115,NBATV
0011500032,20151009/ATLNOP,2015-10-09,NOP,93,ATL,103,NA
0011500034,20151009/FENOKC,2015-10-09,OKC,111,FEN,81,NA
0011500035,20151009/UTAPHX,2015-10-09,PHX,101,UTA,85,NA
0011500036,20151010/BKNPHI,2015-10-10,PHI,97,BKN,95,NA
0011500037,20151010/CHIMIN,2015-10-10,MIN,105,CHI,114,NBATV
0011500038,20151010/PORSAC,2015-10-10,SAC,94,POR,90,NA
0011500039,20151010/DETMIL,2015-10-10,MIL,88,DET,117,NA
0011500040,20151011/LACCHA,2015-10-11,CHA,106,LAC,94,NBATV
0011500041,20151011/BAUWAS,2015-10-11,WAS,134,BAU,100,NA
0011500042,20151011/ORLHOU,2015-10-11,HOU,119,ORL,123,NA
0011500043,20151011/MACLAL,2015-10-11,LAL,126,MAC,83,NBATV
0011500044,20151012/MEMCLE,2015-10-12,CLE,81,MEM,91,NA
0011500045,20151012/NOPCHI,2015-10-12,CHI,115,NOP,123,NBATV
0011500046,20151012/PORUTA,2015-10-12,UTA,81,POR,88,NA
0011500047,20151012/PHINYK,2015-10-12,NYK,94,PHI,88,NA
0011500048,20151012/MINTOR,2015-10-12,TOR,112,MIN,105,NA
0011500049,20151012/SASMIA,2015-10-12,MIA,97,SAS,94,NA
0011500050,20151013/MIAORL,2015-10-13,ORL,95,MIA,92,NA
0011500051,20151013/MILCLE,2015-10-13,CLE,101,MIL,110,NBATV
0011500052,20151013/DETIND,2015-10-13,IND,101,DET,97,NA
0011500053,20151013/DALOKC,2015-10-13,OKC,100,DAL,88,NA
0011500054,20151013/HOUPHX,2015-10-13,PHX,129,HOU,135,NA
0011500055,20151013/SACLAL,2015-10-13,LAL,100,SAC,107,NA
0011500056,20151013/DENGSW,2015-10-13,GSW,103,DEN,114,NBATV
0011500057,20151014/DETCHI,2015-10-14,CHI,91,DET,114,NA
0011500058,20151014/TORMIN,2015-10-14,MIN,89,TOR,87,NA
0011500059,20151014/BOSBKN,2015-10-14,BKN,105,BOS,109,NA
0011500060,20151014/SASATL,2015-10-14,ATL,100,SAS,86,NBATV
0011500061,20151014/CHALAC,2015-10-14,LAC,71,CHA,113,NBATV
0011500062,20151015/INDCLE,2015-10-15,CLE,85,IND,107,NBATV
0011500063,20151015/HOUGSW,2015-10-15,GSW,123,HOU,101,TNT
0011500064,20151016/WASPHI,2015-10-16,PHI,118,WAS,127,NA
0011500065,20151016/OKCMEM,2015-10-16,MEM,94,OKC,78,NA
0011500066,20151016/PHXDEN,2015-10-16,DEN,106,PHX,81,NA
0011500067,20151016/BOSNYK,2015-10-16,NYK,101,BOS,95,NBATV
0011500068,20151016/ATLDAL,2015-10-16,DAL,84,ATL,91,NA
0011500069,20151017/ORLFLA,2015-10-17,FLA,73,ORL,90,NBATV
0011500070,20151017/NYKCHA,2015-10-17,CHA,97,NYK,93,NA
0011500071,20151017/SACNOP,2015-10-17,NOP,98,SAC,107,NA
0011500072,20151017/MIAHOU,2015-10-17,HOU,100,MIA,105,NA
0011500073,20151017/GSWLAL,2015-10-17,LAL,85,GSW,70,NBATV
0011500074,20151017/WASMIL,2015-10-17,MIL,101,WAS,105,NA
0011500075,20151018/PHIBKN,2015-10-18,BKN,92,PHI,91,NBATV
0011500076,20151018/DETSAS,2015-10-18,SAS,96,DET,92,NA
0011500077,20151018/MINMEM,2015-10-18,MEM,90,MIN,68,NA
0011500078,20151018/CLETOR,2015-10-18,TOR,87,CLE,81,NBATV
0011500079,20151018/DENOKC,2015-10-18,OKC,111,DEN,98,NA
0011500080,20151018/UTAPOR,2015-10-18,POR,116,UTA,111,NBATV
0011500081,20151018/MIAATL,2015-10-18,ATL,92,MIA,101,NA
0011500082,20151019/CHICHA,2015-10-19,CHA,94,CHI,86,NA
0011500083,20151019/DALCLE,2015-10-19,CLE,103,DAL,97,NBATV
0011500084,20151019/NOPHOU,2015-10-19,HOU,120,NOP,100,NA
0011500085,20151019/BKNBOS,2015-10-19,BOS,111,BKN,105,NA
0011500086,20151019/PORLAL,2015-10-19,LAL,104,POR,102,NBATV
0011500087,20151020/INDCHI,2015-10-20,CHI,103,IND,94,NBATV
