gid,gcode,date,home,home_score,away,away_score,national_tv
0012000001,20201211/ORLATL,2020-12-11,ATL,112,ORL,116,NA
0012000002,20201211/NYKDET,2020-12-11,DET,84,NYK,90,NA
0012000003,20201211/HOUCHI,2020-12-11,CHI,104,HOU,125,NBA TV
0012000004,20201211/LACLAL,2020-12-11,LAL,87,LAC,81,NA
0012000005,20201211/SACPOR,2020-12-11,POR,127,SAC,102,ESPN
0012000006,20201212/TORCHA,2020-12-12,CHA,100,TOR,111,NBA TV
0012000007,20201212/INDCLE,2020-12-12,CLE,107,IND,104,NA
0012000008,20201212/OKCSAS,2020-12-12,SAS,108,OKC,121,NA
0012000009,20201212/DALMIL,2020-12-12,MIL,102,DAL,112,NA
0012000010,20201212/MEMMIN,2020-12-12,MIN,105,MEM,107,NA
0012000011,20201212/DENGSW,2020-12-12,GSW,107,DEN,105,NA
0012000012,20201212/PHXUTA,2020-12-12,UTA,119,PHX,105,NBA TV
0012000013,20201213/ORLATL,2020-12-13,ATL,116,ORL,107,NA
0012000014,20201213/WASBKN,2020-12-13,BKN,119,WAS,114,NBA TV
0012000015,20201213/NYKDET,2020-12-13,DET,99,NYK,91,NA
0012000016,20201213/HOUCHI,2020-12-13,CHI,104,HOU,91,NA
0012000017,20201213/SACPOR,2020-12-13,POR,106,SAC,121,NA
0012000018,20201213/LACLAL,2020-12-13,LAL,131,LAC,106,ESPN
0012000019,20201214/INDCLE,2020-12-14,CLE,116,IND,106,NA
0012000020,20201214/TORCHA,2020-12-14,CHA,109,TOR,112,NA
0012000021,20201214/NOPMIA,2020-12-14,MIA,92,NOP,114,NBA TV
0012000022,20201214/DALMIL,2020-12-14,MIL,112,DAL,128,NA
0012000023,20201214/MEMMIN,2020-12-14,MIN,104,MEM,123,NA
0012000024,20201214/PHXUTA,2020-12-14,UTA,111,PHX,92,NBA TV
0012000025,20201215/BOSPHI,2020-12-15,PHI,108,BOS,99,TNT
0012000026,20201215/SASHOU,2020-12-15,HOU,112,SAS,98,NA
0012000027,20201215/GSWSAC,2020-12-15,SAC,114,GSW,113,TNT
0012000028,20201216/CLENYK,2020-12-16,NYK,100,CLE,93,NA
0012000029,20201216/CHIOKC,2020-12-16,OKC,103,CHI,124,NA
0012000030,20201216/PORDEN,2020-12-16,DEN,126,POR,95,NA
0012000031,20201216/LALPHX,2020-12-16,PHX,107,LAL,112,NBA TV
0012000032,20201217/CHAORL,2020-12-17,ORL,115,CHA,123,NA
0012000033,20201217/DETWAS,2020-12-17,WAS,86,DET,97,NA
0012000034,20201217/SASHOU,2020-12-17,HOU,128,SAS,106,NA
0012000035,20201217/ATLMEM,2020-12-17,MEM,128,ATL,106,NA
0012000036,20201217/MINDAL,2020-12-17,DAL,127,MIN,129,NA
0012000037,20201217/UTALAC,2020-12-17,LAC,105,UTA,125,NA
0012000038,20201217/GSWSAC,2020-12-17,SAC,105,GSW,113,ESPN
0012000039,20201218/PHIIND,2020-12-18,IND,107,PHI,113,NA
0012000040,20201218/MIATOR,2020-12-18,TOR,105,MIA,117,NA
0012000041,20201218/BKNBOS,2020-12-18,BOS,89,BKN,113,ESPN2
0012000042,20201218/CLENYK,2020-12-18,NYK,119,CLE,83,NA
0012000043,20201218/MILNOP,2020-12-18,NOP,127,MIL,113,NA
0012000044,20201218/CHIOKC,2020-12-18,OKC,103,CHI,105,NA
0012000045,20201218/PORDEN,2020-12-18,DEN,129,POR,96,NA
0012000046,20201218/LALPHX,2020-12-18,PHX,113,LAL,114,ESPN
0012000047,20201219/CHAORL,2020-12-19,ORL,120,CHA,117,NA
0012000048,20201219/DETWAS,2020-12-19,WAS,99,DET,96,NA
0012000049,20201219/ATLMEM,2020-12-19,MEM,116,ATL,117,NBA TV
0022000001,20201222/GSWBKN,2020-12-22,BKN,125,GSW,99,TNT
0022000002,20201222/LACLAL,2020-12-22,LAL,109,LAC,116,TNT
0022000003,20201223/MILBOS,2020-12-23,BOS,122,MIL,121,TNT
0022000004,20201223/DALPHX,2020-12-23,PHX,106,DAL,102,ESPN
0022000010,20201223/CHACLE,2020-12-23,CLE,121,CHA,114,NA
0022000011,20201223/NYKIND,2020-12-23,IND,121,NYK,107,NA
0022000012,20201223/MIAORL,2020-12-23,ORL,113,MIA,107,NA
0022000013,20201223/WASPHI,2020-12-23,PHI,113,WAS,107,NA
0022000014,20201223/NOPTOR,2020-12-23,TOR,99,NOP,113,NA
0022000015,20201223/ATLCHI,2020-12-23,CHI,104,ATL,124,NA
0022000017,20201223/SASMEM,2020-12-23,MEM,119,SAS,131,NA
0022000018,20201223/DETMIN,2020-12-23,MIN,111,DET,101,NA
0022000019,20201223/SACDEN,2020-12-23,DEN,122,SAC,124,NA
0022000020,20201223/UTAPOR,2020-12-23,POR,100,UTA,120,NA
0022000005,20201225/NOPMIA,2020-12-25,MIA,111,NOP,98,ESPN
0022000006,20201225/GSWMIL,2020-12-25,MIL,138,GSW,99,ABC
0022000007,20201225/BKNBOS,2020-12-25,BOS,95,BKN,123,ABC
0022000008,20201225/DALLAL,2020-12-25,LAL,138,DAL,115,ABC/ESPN
0022000009,20201225/LACDEN,2020-12-25,DEN,108,LAC,121,ESPN
0022000021,20201226/ATLMEM,2020-12-26,MEM,112,ATL,122,NBA TV
0022000022,20201226/OKCCHA,2020-12-26,CHA,107,OKC,109,NA
0022000023,20201226/CLEDET,2020-12-26,DET,119,CLE,128,NA
0022000024,20201226/ORLWAS,2020-12-26,WAS,120,ORL,130,NA
0022000025,20201226/PHINYK,2020-12-26,NYK,89,PHI,109,NBA TV
0022000026,20201226/INDCHI,2020-12-26,CHI,106,IND,125,NA
0022000027,20201226/TORSAS,2020-12-26,SAS,119,TOR,114,NA
0022000028,20201226/MINUTA,2020-12-26,UTA,111,MIN,116,NA
0022000029,20201226/HOUPOR,2020-12-26,POR,128,HOU,126,NBA TV
0022000030,20201226/PHXSAC,2020-12-26,SAC,106,PHX,103,NA
0022000031,20201227/DALLAC,2020-12-27,LAC,73,DAL,124,NBA TV
0022000032,20201227/BKNCHA,2020-12-27,CHA,106,BKN,104,NBA TV
0022000033,20201227/ORLWAS,2020-12-27,WAS,113,ORL,120,NA
