gid,gcode,date,home,home_score,away,away_score,national_tv
0012300001,20231005/DALMIN,2023-10-05,MIN,111,DAL,99,NBA TV
0012300002,20231007/MINDAL,2023-10-07,DAL,96,MIN,104,NBA TV
0012300003,20231007/LALGSW,2023-10-07,GSW,125,LAL,108,NBA TV
0012300004,20231008/CHIMIL,2023-10-08,MIL,105,CHI,102,NA
0012300005,20231008/PHXDET,2023-10-08,DET,126,PHX,130,NBA TV
0012300006,20231008/PHIBOS,2023-10-08,BOS,114,PHI,106,ESPN
0012300007,20231008/INDMEM,2023-10-08,MEM,127,IND,122,NA
0012300008,20231008/SACTOR,2023-10-08,TOR,112,SAC,99,NA
0012300009,20231008/UTALAC,2023-10-08,LAC,96,UTA,101,NBA TV
0012300010,20231009/BOSNYK,2023-10-09,NYK,114,BOS,107,NA
0012300011,20231009/SASOKC,2023-10-09,OKC,122,SAS,121,NBA TV
0012300012,20231009/BKNLAL,2023-10-09,LAL,129,BKN,126,NA
0012300013,20231010/DALRMD,2023-10-10,RMD,127,DAL,123,NBA TV
0012300014,20231010/CNSWAS,2023-10-10,WAS,145,CNS,82,NA
0012300015,20231010/CLEATL,2023-10-10,ATL,108,CLE,107,NA
0012300016,20231010/CHAMIA,2023-10-10,MIA,113,CHA,109,NBA TV
0012300017,20231010/INDHOU,2023-10-10,HOU,122,IND,103,NA
0012300018,20231010/MILMEM,2023-10-10,MEM,108,MIL,102,NA
0012300019,20231010/ORLNOP,2023-10-10,NOP,105,ORL,122,NA
0012300020,20231010/UTALAC,2023-10-10,LAC,103,UTA,98,NA
0012300021,20231010/DENPHX,2023-10-10,PHX,107,DEN,115,TNT
0012300022,20231010/NZBPOR,2023-10-10,POR,106,NZB,66,NA
0012300023,20231011/BOSPHI,2023-10-11,PHI,101,BOS,112,NBA TV
0012300024,20231011/SACLAL,2023-10-11,LAL,109,SAC,101,NBA TV
0012300025,20231012/CHAWAS,2023-10-12,WAS,98,CHA,92,NA
0012300026,20231012/ORLCLE,2023-10-12,CLE,105,ORL,108,NA
0012300027,20231012/DETOKC,2023-10-12,OKC,125,DET,128,NA
0012300028,20231012/MEMATL,2023-10-12,ATL,103,MEM,102,NBA TV
0012300029,20231012/MRABKN,2023-10-12,BKN,135,MRA,103,NA
0012300030,20231012/DENCHI,2023-10-12,CHI,133,DEN,124,NA
0012300031,20231012/HOUNOP,2023-10-12,NOP,87,HOU,120,NA
0012300032,20231012/PHXPOR,2023-10-12,POR,111,PHX,122,NBA TV
0012300033,20231013/MIASAS,2023-10-13,SAS,120,MIA,104,TNT
0012300034,20231013/GSWLAL,2023-10-13,LAL,125,GSW,129,ESPN2
0012300035,20231014/NOPATL,2023-10-14,ATL,110,NOP,105,NBA TV
0012300036,20231014/MINNYK,2023-10-14,NYK,112,MIN,121,NBA TV
0012300037,20231014/PORUTA,2023-10-14,UTA,138,POR,133,NA
0012300038,20231015/OKCCHA,2023-10-15,CHA,117,OKC,115,NA
0012300039,20231015/MEMMIA,2023-10-15,MIA,132,MEM,124,NA
0012300040,20231015/CNSTOR,2023-10-15,TOR,134,CNS,93,NA
0012300041,20231015/MILLAL,2023-10-15,LAL,97,MIL,108,ESPN
0012300042,20231015/CHIDEN,2023-10-15,DEN,116,CHI,102,NA
0012300043,20231015/GSWSAC,2023-10-15,SAC,115,GSW,121,ESPN
0012300044,20231016/ATLIND,2023-10-16,IND,116,ATL,112,NA
0012300045,20231016/MRACLE,2023-10-16,CLE,120,MRA,89,NA
0012300046,20231016/PHIBKN,2023-10-16,BKN,119,PHI,127,NBA TV
0012300047,20231016/HOUSAS,2023-10-16,SAS,89,HOU,99,NA
0012300048,20231016/NZBUTA,2023-10-16,UTA,114,NZB,94,NA
0012300049,20231016/PORPHX,2023-10-16,PHX,117,POR,106,NBA TV
0012300050,20231017/NOPORL,2023-10-17,ORL,92,NOP,104,NA
0012300051,20231017/NYKBOS,2023-10-17,BOS,123,NYK,110,NBA TV
0012300052,20231017/TORCHI,2023-10-17,CHI,102,TOR,106,NA
0012300053,20231017/MILOKC,2023-10-17,OKC,124,MIL,101,NA
0012300054,20231017/MRAMIN,2023-10-17,MIN,138,MRA,111,NA
0012300055,20231017/DENLAC,2023-10-17,LAC,116,DEN,103,ESPN2
0012300056,20231018/BKNMIA,2023-10-18,MIA,104,BKN,107,NBA TV
0012300057,20231018/WASNYK,2023-10-18,NYK,106,WAS,131,NA
0012300058,20231018/HOUSAS,2023-10-18,SAS,117,HOU,103,NA
0012300059,20231018/SACGSW,2023-10-18,GSW,116,SAC,115,NBA TV
0012300060,20231019/BOSCHA,2023-10-19,CHA,99,BOS,127,NBA TV
0012300061,20231019/MINCHI,2023-10-19,CHI,105,MIN,114,NA
0012300062,20231019/DETOKC,2023-10-19,OKC,116,DET,118,NA
0012300063,20231019/PHXLAL,2023-10-19,LAL,100,PHX,123,NBA TV
0012300064,20231019/DENLAC,2023-10-19,LAC,90,DEN,103,NA
0012300065,20231019/UTASAC,2023-10-19,SAC,116,UTA,113,NA
0012300066,20231020/CLEIND,2023-10-20,IND,109,CLE,104,NA
0012300067,20231020/FLAORL,2023-10-20,ORL,109,FLA,76,NA
0012300068,20231020/ATLPHI,2023-10-20,PHI,120,ATL,106,NBA TV
0012300069,20231020/WASTOR,2023-10-20,TOR,134,WAS,98,NA
0012300070,20231020/DETDAL,2023-10-20,DAL,114,DET,104,NA
0012300071,20231020/MIAHOU,2023-10-20,HOU,110,MIA,104,NA
0012300072,20231020/MEMMIL,2023-10-20,MIL,124,MEM,116,NA
0012300073,20231020/SASGSW,2023-10-20,GSW,117,SAS,122,NBA TV
0022300061,20231024/LALDEN,2023-10-24,DEN,119,LAL,107,TNT
0022300062,20231024/PHXGSW,2023-10-24,GSW,104,PHX,108,TNT
0022300063,20231025/ATLCHA,2023-10-25,CHA,116,ATL,110,NA
0022300064,20231025/WASIND,2023-10-25,IND,143,WAS,120,NA
0022300065,20231025/BOSNYK,2023-10-25,NYK,104,BOS,108,ESPN
0022300066,20231025/HOUORL,2023-10-25,ORL,116,HOU,86,NA
0022300067,20231025/CLEBKN,2023-10-25,BKN,113,CLE,114,NA
0022300068,20231025/DETMIA,2023-10-25,MIA,103,DET,102,NA
0022300069,20231025/MINTOR,2023-10-25,TOR,97,MIN,94,NA
0022300070,20231025/OKCCHI,2023-10-25,CHI,104,OKC,124,NA
0022300071,20231025/NOPMEM,2023-10-25,MEM,104,NOP,111,NA
0022300072,20231025/SACUTA,2023-10-25,UTA,114,SAC,130,NA
0022300073,20231025/DALSAS,2023-10-25,SAS,119,DAL,126,ESPN
0022300074,20231025/PORLAC,2023-10-25,LAC,123,POR,111,NA
0022300075,20231026/PHIMIL,2023-10-26,MIL,118,PHI,117,TNT
0022300076,20231026/PHXLAL,2023-10-26,LAL,100,PHX,95,TNT
0022300077,20231027/DETCHA,2023-10-27,CHA,99,DET,111,NA
0022300078,20231027/DENMEM,2023-10-27,MEM,104,DEN,108,NA
0022300079,20231027/NYKATL,2023-10-27,ATL,120,NYK,126,NA
0022300080,20231027/MIABOS,2023-10-27,BOS,119,MIA,111,ESPN
0022300081,20231027/OKCCLE,2023-10-27,CLE,105,OKC,108,NA
0022300082,20231027/TORCHI,2023-10-27,CHI,104,TOR,103,NA
0022300083,20231027/HOUSAS,2023-10-27,SAS,126,HOU,122,NA
0022300084,20231027/BKNDAL,2023-10-27,DAL,125,BKN,120,NA
0022300085,20231027/LACUTA,2023-10-27,UTA,120,LAC,118,NA
0022300086,20231027/ORLPOR,2023-10-27,POR,97,ORL,102,NA
0022300087,20231027/GSWSAC,2023-10-27,SAC,114,GSW,122,ESPN
0022300088,20231028/CHIDET,2023-10-28,DET,118,CHI,102,NA
0022300089,20231028/MEMWAS,2023-10-28,WAS,113,MEM,106,NA
0022300090,20231028/NYKNOP,2023-10-28,NOP,96,NYK,87,NBA TV
0022300091,20231028/INDCLE,2023-10-28,CLE,113,IND,125,NA
0022300092,20231028/PHITOR,2023-10-28,TOR,107,PHI,114,NA
0022300093,20231028/MIAMIN,2023-10-28,MIN,106,MIA,90,NA
0022300094,20231028/UTAPHX,2023-10-28,PHX,126,UTA,104,NBA TV
0022300095,20231029/DENOKC,2023-10-29,OKC,95,DEN,128,NA
0022300096,20231029/GSWHOU,2023-10-29,HOU,95,GSW,106,NA
0022300097,20231029/ATLMIL,2023-10-29,MIL,110,ATL,127,NA
0022300098,20231029/PORPHI,2023-10-29,PHI,126,POR,98,NA
0022300099,20231029/SASLAC,2023-10-29,LAC,123,SAS,83,NBA TV
0022300100,20231029/LALSAC,2023-10-29,SAC,132,LAL,127,NA
0022300101,20231030/BKNCHA,2023-10-30,CHA,121,BKN,133,NA
0022300102,20231030/CHIIND,2023-10-30,IND,105,CHI,112,NA
0022300103,20231030/BOSWAS,2023-10-30,WAS,107,BOS,126,NA
0022300104,20231030/MINATL,2023-10-30,ATL,127,MIN,113,NA
0022300105,20231030/PORTOR,2023-10-30,TOR,91,POR,99,NA
0022300106,20231030/DALMEM,2023-10-30,MEM,110,DAL,125,NA
0022300107,20231030/MIAMIL,2023-10-30,MIL,122,MIA,114,NA
0022300108,20231030/GSWNOP,2023-10-30,NOP,102,GSW,130,NBA TV
0022300109,20231030/DETOKC,2023-10-30,OKC,124,DET,112,NA
0022300110,20231030/UTADEN,2023-10-30,DEN,110,UTA,102,NA
0022300111,20231030/ORLLAL,2023-10-30,LAL,106,ORL,103,NBA TV
0022300112,20231031/NYKCLE,2023-10-31,CLE,91,NYK,109,TNT
0022300113,20231031/SASPHX,2023-10-31,PHX,114,SAS,115,TNT
0022300114,20231031/ORLLAC,2023-10-31,LAC,118,ORL,102,NA
0022300115,20231101/PORDET,2023-11-01,DET,101,POR,110,NA
0022300116,20231101/MILTOR,2023-11-01,TOR,130,MIL,111,NA
0022300117,20231101/WASATL,2023-11-01,ATL,130,WAS,121,NA
0022300118,20231101/INDBOS,2023-11-01,BOS,155,IND,104,NA
0022300119,20231101/BKNMIA,2023-11-01,MIA,105,BKN,109,NA
0022300120,20231101/CLENYK,2023-11-01,NYK,89,CLE,95,NA
0022300121,20231101/NOPOKC,2023-11-01,OKC,106,NOP,110,ESPN
0022300122,20231101/CHAHOU,2023-11-01,HOU,128,CHA,119,NA
0022300123,20231101/DENMIN,2023-11-01,MIN,110,DEN,89,NA
0022300124,20231101/CHIDAL,2023-11-01,DAL,114,CHI,105,NA
0022300125,20231101/MEMUTA,2023-11-01,UTA,133,MEM,109,NA
0022300126,20231101/SACGSW,2023-11-01,GSW,102,SAC,101,NA
0022300127,20231101/LACLAL,2023-11-01,LAL,130,LAC,125,ESPN
0022300128,20231102/TORPHI,2023-11-02,PHI,114,TOR,99,NBA TV
0022300129,20231102/DETNOP,2023-11-02,NOP,125,DET,116,NA
0022300130,20231102/ORLUTA,2023-11-02,UTA,113,ORL,115,NA
0022300131,20231102/SASPHX,2023-11-02,PHX,121,SAS,132,NBA TV
0022300001,20231103/CLEIND,2023-11-03,IND,121,CLE,116,NA
0022300002,20231103/NYKMIL,2023-11-03,MIL,110,NYK,105,ESPN
0022300003,20231103/WASMIA,2023-11-03,MIA,121,WAS,114,NA
0022300004,20231103/BKNCHI,2023-11-03,CHI,107,BKN,109,NA
0022300005,20231103/GSWOKC,2023-11-03,OKC,139,GSW,141,NA
0022300006,20231103/DALDEN,2023-11-03,DEN,125,DAL,114,ESPN
0022300007,20231103/MEMPOR,2023-11-03,POR,115,MEM,113,NA
0022300132,20231104/PHXPHI,2023-11-04,PHI,112,PHX,100,NA
0022300133,20231104/CHAIND,2023-11-04,IND,124,CHA,125,NA
0022300134,20231104/LALORL,2023-11-04,ORL,120,LAL,101,NA
0022300135,20231104/ATLNOP,2023-11-04,NOP,105,ATL,123,NA
0022300136,20231104/BOSBKN,2023-11-04,BKN,114,BOS,124,NA
0022300137,20231104/SACHOU,2023-11-04,HOU,107,SAC,89,NA
0022300138,20231104/UTAMIN,2023-11-04,MIN,123,UTA,95,NA
0022300139,20231104/CHIDEN,2023-11-04,DEN,123,CHI,101,NBA TV
0022300140,20231105/PHXDET,2023-11-05,DET,106,PHX,120,NA
0022300141,20231105/TORSAS,2023-11-05,SAS,116,TOR,123,NA
0022300142,20231105/GSWCLE,2023-11-05,CLE,115,GSW,104,NA
0022300143,20231105/CHADAL,2023-11-05,DAL,124,CHA,118,NA
0022300144,20231105/MEMPOR,2023-11-05,POR,100,MEM,112,NA
0022300145,20231106/GSWDET,2023-11-06,DET,109,GSW,120,NA
0022300146,20231106/SASIND,2023-11-06,IND,152,SAS,111,NA
0022300147,20231106/DALORL,2023-11-06,ORL,102,DAL,117,NA
0022300148,20231106/WASPHI,2023-11-06,PHI,146,WAS,128,NA
0022300149,20231106/MILBKN,2023-11-06,BKN,125,MIL,129,NA
0022300150,20231106/LALMIA,2023-11-06,MIA,108,LAL,107,NBA TV
0022300151,20231106/LACNYK,2023-11-06,NYK,111,LAC,97,NA
0022300152,20231106/UTACHI,2023-11-06,CHI,130,UTA,113,NA
0022300153,20231106/SACHOU,2023-11-06,HOU,122,SAC,97,NA
0022300154,20231106/BOSMIN,2023-11-06,MIN,114,BOS,109,NA
0022300155,20231106/ATLOKC,2023-11-06,OKC,126,ATL,117,NA
0022300156,20231106/NOPDEN,2023-11-06,DEN,134,NOP,116,NA
0022300157,20231108/WASCHA,2023-11-08,CHA,116,WAS,132,NA
0022300158,20231108/UTAIND,2023-11-08,IND,134,UTA,118,NA
0022300159,20231108/BOSPHI,2023-11-08,PHI,106,BOS,103,NA
0022300160,20231108/LACBKN,2023-11-08,BKN,100,LAC,93,NA
0022300161,20231108/SASNYK,2023-11-08,NYK,126,SAS,105,ESPN
0022300162,20231108/PHXCHI,2023-11-08,CHI,115,PHX,116,NA
0022300163,20231108/LALHOU,2023-11-08,HOU,128,LAL,94,NA
0022300164,20231108/MIAMEM,2023-11-08,MEM,102,MIA,108,NA
0022300165,20231108/DETMIL,2023-11-08,MIL,120,DET,118,NA
0022300166,20231108/NOPMIN,2023-11-08,MIN,122,NOP,101,NA
0022300167,20231108/CLEOKC,2023-11-08,OKC,128,CLE,120,NA
0022300168,20231108/TORDAL,2023-11-08,DAL,116,TOR,127,NA
0022300169,20231108/GSWDEN,2023-11-08,DEN,108,GSW,105,ESPN
0022300170,20231108/PORSAC,2023-11-08,SAC,121,POR,118,NA
0022300171,20231109/MILIND,2023-11-09,IND,126,MIL,124,NBA TV
0022300172,20231109/ATLORL,2023-11-09,ORL,119,ATL,120,NBA TV
0022300008,20231110/PHIDET,2023-11-10,DET,106,PHI,114,NA
0022300009,20231110/CHAWAS,2023-11-10,WAS,117,CHA,124,NA
0022300010,20231110/BKNBOS,2023-11-10,BOS,121,BKN,107,ESPN
0022300011,20231110/NOPHOU,2023-11-10,HOU,104,NOP,101,NA
