gid,gcode,date,home,home_score,away,away_score,national_tv
0012100001,20211003/BKNLAL,2021-10-03,LAL,97,BKN,123,NBA TV
0012100002,20211004/PHITOR,2021-10-04,TOR,123,PHI,107,NA
0012100003,20211004/ORLBOS,2021-10-04,BOS,98,ORL,97,NA
0012100004,20211004/ATLMIA,2021-10-04,MIA,125,ATL,99,NBA TV
0012100005,20211004/NOPMIN,2021-10-04,MIN,117,NOP,114,NA
0012100006,20211004/CHAOKC,2021-10-04,OKC,97,CHA,113,NA
0012100007,20211004/UTASAS,2021-10-04,SAS,111,UTA,85,NA
0012100008,20211004/GSWPOR,2021-10-04,POR,107,GSW,121,NBA TV
0012100009,20211004/PHXSAC,2021-10-04,SAC,117,PHX,106,NA
0012100010,20211004/DENLAC,2021-10-04,LAC,103,DEN,102,NA
0012100011,20211005/INDNYK,2021-10-05,NYK,125,IND,104,NA
0012100012,20211005/CLECHI,2021-10-05,CHI,131,CLE,95,NA
0012100013,20211005/WASHOU,2021-10-05,HOU,125,WAS,119,NA
0012100014,20211005/MILMEM,2021-10-05,MEM,87,MIL,77,TNT
0012100015,20211006/SASDET,2021-10-06,DET,115,SAS,105,NA
0012100016,20211006/CLEATL,2021-10-06,ATL,96,CLE,99,NA
0012100017,20211006/ORLNOP,2021-10-06,NOP,104,ORL,86,NA
0012100018,20211006/UTADAL,2021-10-06,DAL,111,UTA,101,NBA TV
0012100019,20211006/DENGSW,2021-10-06,GSW,118,DEN,116,NA
0012100020,20211006/LALPHX,2021-10-06,PHX,117,LAL,105,NBA TV
0012100021,20211006/SACLAC,2021-10-06,LAC,98,SAC,113,NA
0012100022,20211007/MEMCHA,2021-10-07,CHA,98,MEM,128,NA
0012100023,20211007/TORPHI,2021-10-07,PHI,125,TOR,113,NBA TV
0012100024,20211007/MIAHOU,2021-10-07,HOU,106,MIA,113,ESPN2
0012100025,20211008/INDCLE,2021-10-08,CLE,100,IND,109,NA
0012100026,20211008/MILBKN,2021-10-08,BKN,119,MIL,115,NBA TV
0012100027,20211008/NOPCHI,2021-10-08,CHI,121,NOP,85,NA
0012100028,20211008/LACDAL,2021-10-08,DAL,122,LAC,114,NA
0012100029,20211008/MIASAS,2021-10-08,SAS,105,MIA,109,NA
0012100030,20211008/MINDEN,2021-10-08,DEN,112,MIN,114,NA
0012100031,20211008/LALGSW,2021-10-08,GSW,121,LAL,114,NBA TV
0012100032,20211009/TORBOS,2021-10-09,BOS,113,TOR,111,NA
0012100033,20211009/NYKWAS,2021-10-09,WAS,99,NYK,117,NA
0012100034,20211009/ATLMEM,2021-10-09,MEM,87,ATL,91,NBA TV
0012100035,20211010/SASORL,2021-10-10,ORL,100,SAS,101,NA
