gid,gcode,date,home,home_score,away,away_score,national_tv
0011700001,20170930/DENGSW,2017-09-30,GSW,102,DEN,108,NA
0011700002,20170930/MINLAL,2017-09-30,LAL,99,MIN,108,NBA TV
0011700003,20171001/LACTOR,2017-10-01,TOR,121,LAC,113,NBA TV
0011700004,20171001/ATLMIA,2017-10-01,MIA,96,ATL,90,NBA TV
0011700005,20171002/GUAWAS,2017-10-02,WAS,126,GUA,96,NA
0011700006,20171002/ORLMEM,2017-10-02,MEM,92,ORL,84,NA
0011700007,20171002/SYDUTA,2017-10-02,UTA,108,SYD,83,NA
0011700008,20171002/CHABOS,2017-10-02,BOS,94,CHA,82,NBA TV
0011700009,20171002/MILDAL,2017-10-02,DAL,106,MIL,104,NA
0011700010,20171002/SASSAC,2017-10-02,SAC,106,SAS,96,NA
0011700011,20171002/DENLAL,2017-10-02,LAL,107,DEN,113,NBA TV
0011700012,20171003/CHINOP,2017-10-03,NOP,109,CHI,113,NA
0011700013,20171003/HOUOKC,2017-10-03,OKC,97,HOU,104,NBA TV
0011700014,20171003/PHXPOR,2017-10-03,POR,112,PHX,114,NBA TV
0011700016,20171003/BKNNYK,2017-10-03,NYK,107,BKN,115,NA
0011700015,20171004/TORLAC,2017-10-04,LAC,98,TOR,84,NBA TV
0011700017,20171004/MEMPHI,2017-10-04,PHI,89,MEM,110,NA
0011700018,20171004/ATLCLE,2017-10-04,CLE,93,ATL,109,NBA TV
0011700019,20171004/CHADET,2017-10-04,DET,104,CHA,109,NA
0011700020,20171004/INDMIL,2017-10-04,MIL,86,IND,104,NA
0011700021,20171004/MACUTA,2017-10-04,UTA,117,MAC,78,NA
0011700022,20171004/DENLAL,2017-10-04,LAL,104,DEN,122,NBA TV
0011700023,20171004/CHIDAL,2017-10-04,DAL,118,CHI,71,NA
0011700024,20171005/MINGSW,2017-10-05,GSW,95,MIN,111,NBA TV
0011700025,20171005/DALORL,2017-10-05,ORL,112,DAL,89,NA
0011700026,20171005/SDSHOU,2017-10-05,HOU,144,SDS,82,NA
0011700027,20171005/TORPOR,2017-10-05,POR,106,TOR,101,NBA TV
0011700028,20171005/MIABKN,2017-10-05,BKN,107,MIA,88,NBA TV
0011700029,20171006/BOSPHI,2017-10-06,PHI,102,BOS,110,NBA TV
0011700030,20171006/NYKWAS,2017-10-06,WAS,104,NYK,100,NA
0011700031,20171006/ATLDET,2017-10-06,DET,109,ATL,87,NA
0011700032,20171006/MILCHI,2017-10-06,CHI,114,MIL,101,NA
0011700033,20171006/NOPOKC,2017-10-06,OKC,102,NOP,91,NA
0011700034,20171006/PHXUTA,2017-10-06,UTA,112,PHX,101,NA
