gid,gcode,date,home,home_score,away,away_score,national_tv
0011900001,20190930/SDSHOU,2019-09-30,HOU,140,SDS,71,NBA TV
0011900002,20191004/HOULAC,2019-10-04,LAC,96,HOU,109,NA
0011900003,20191004/INDSAC,2019-10-04,SAC,131,IND,132,NBA TV
0011900004,20191004/FRABKN,2019-10-04,BKN,137,FRA,89,NBA TV
0011900005,20191005/SACIND,2019-10-05,IND,130,SAC,106,NBA TV
0011900006,20191005/LALGSW,2019-10-05,GSW,101,LAL,123,TNT
0011900007,20191005/ORLSAS,2019-10-05,SAS,89,ORL,125,NA
0011900008,20191005/ADLUTA,2019-10-05,UTA,133,ADL,81,NA
0011900009,20191006/MACMEM,2019-10-06,MEM,123,MAC,88,NA
0011900010,20191006/CHABOS,2019-10-06,BOS,107,CHA,106,NA
0011900011,20191006/SDSLAC,2019-10-06,LAC,127,SDS,87,NBA TV
0011900012,20191007/SLACLE,2019-10-07,CLE,120,SLA,89,NA
0011900013,20191007/ORLDET,2019-10-07,DET,91,ORL,115,NA
0011900014,20191007/NYKWAS,2019-10-07,WAS,99,NYK,104,NA
0011900015,20191007/NOPATL,2019-10-07,ATL,109,NOP,133,NBA TV
0011900016,20191007/MILCHI,2019-10-07,CHI,112,MIL,122,NA
0011900017,20191008/HOUTOR,2019-10-08,TOR,134,HOU,129,NBA TV
0011900018,20191008/GUAPHI,2019-10-08,PHI,144,GUA,86,NA
0011900019,20191008/SASMIA,2019-10-08,MIA,107,SAS,89,NA
0011900020,20191008/NZBMEM,2019-10-08,MEM,108,NZB,94,NA
0011900021,20191008/DALOKC,2019-10-08,OKC,119,DAL,104,ESPN
0011900022,20191008/MINPHX,2019-10-08,PHX,111,MIN,106,NA
0011900023,20191008/DENPOR,2019-10-08,POR,94,DEN,105,ESPN
0011900024,20191009/DALDET,2019-10-09,DET,124,DAL,117,NA
0011900025,20191009/GUAWAS,2019-10-09,WAS,137,GUA,98,NA
0011900026,20191009/ORLATL,2019-10-09,ATL,88,ORL,97,NA
0011900027,20191009/MIACHA,2019-10-09,CHA,94,MIA,108,NA
0011900028,20191009/NOPCHI,2019-10-09,CHI,125,NOP,127,ESPN
0011900029,20191009/UTAMIL,2019-10-09,MIL,133,UTA,99,NA
0011900030,20191010/TORHOU,2019-10-10,HOU,118,TOR,111,NBA.com
0011900031,20191010/BKNLAL,2019-10-10,LAL,111,BKN,114,NBA TV
0011900032,20191010/NZBOKC,2019-10-10,OKC,110,NZB,84,NA
0011900033,20191010/MACPOR,2019-10-10,POR,104,MAC,68,NA
0011900034,20191010/PHXSAC,2019-10-10,SAC,105,PHX,88,NA
0011900035,20191010/MINGSW,2019-10-10,GSW,143,MIN,123,NBA TV
0011900036,20191010/DENLAC,2019-10-10,LAC,91,DEN,111,NA
0011900037,20191011/CLEDET,2019-10-11,DET,109,CLE,105,NA
0011900038,20191011/CHIIND,2019-10-11,IND,105,CHI,87,NA
0011900039,20191011/BOSORL,2019-10-11,ORL,75,BOS,100,NA
0011900040,20191011/PHICHA,2019-10-11,CHA,87,PHI,100,NA
0011900041,20191011/WASNYK,2019-10-11,NYK,99,WAS,115,NA
0011900042,20191011/UTANOP,2019-10-11,NOP,128,UTA,127,NBA TV
0011900043,20191011/MILDAL,2019-10-11,DAL,111,MIL,118,NA
0011900044,20191012/LALBKN,2019-10-12,BKN,91,LAL,77,NBA TV
0011900045,20191012/PHXPOR,2019-10-12,POR,118,PHX,134,NBA TV
0011900046,20191013/CLEBOS,2019-10-13,BOS,118,CLE,72,NBA TV
0011900047,20191013/MELLAC,2019-10-13,LAC,118,MEL,100,NA
0011900048,20191013/NOPSAS,2019-10-13,SAS,114,NOP,123,NA
0011900049,20191013/PHIORL,2019-10-13,ORL,94,PHI,126,NA
0011900050,20191013/CHITOR,2019-10-13,TOR,91,CHI,105,NA
0011900051,20191013/MILWAS,2019-10-13,WAS,108,MIL,115,NBA TV
0011900052,20191013/MACMIN,2019-10-13,MIN,131,MAC,101,NA
0011900053,20191014/ATLMIA,2019-10-14,MIA,120,ATL,87,NA
0011900054,20191014/CHAMEM,2019-10-14,MEM,99,CHA,120,NBA TV
0011900055,20191014/OKCDAL,2019-10-14,DAL,107,OKC,70,NA
0011900056,20191014/DENPHX,2019-10-14,PHX,102,DEN,107,NA
0011900057,20191014/SACUTA,2019-10-14,UTA,115,SAC,128,NA
0011900058,20191014/GSWLAL,2019-10-14,LAL,104,GSW,98,NBA TV
0011900059,20191015/BOSCLE,2019-10-15,CLE,95,BOS,118,NA
0011900060,20191015/MININD,2019-10-15,IND,111,MIN,119,NA
0011900061,20191015/DETPHI,2019-10-15,PHI,106,DET,86,NBA TV
0011900062,20191016/DETCHA,2019-10-16,CHA,110,DET,116,NA
0011900063,20191016/ATLNYK,2019-10-16,NYK,96,ATL,100,ESPN
0011900064,20191016/SASHOU,2019-10-16,HOU,114,SAS,128,NA
0011900065,20191016/MEMOKC,2019-10-16,OKC,119,MEM,124,NA
0011900066,20191016/PORUTA,2019-10-16,UTA,118,POR,126,NA
0011900067,20191016/MELSAC,2019-10-16,SAC,124,MEL,110,NA
0011900068,20191016/GSWLAL,2019-10-16,LAL,126,GSW,93,ESPN
0011900069,20191017/MIAORL,2019-10-17,ORL,98,MIA,107,NA
0011900070,20191017/ATLCHI,2019-10-17,CHI,111,ATL,93,NBA TV
0011900071,20191017/MINMIL,2019-10-17,MIL,118,MIN,96,NA
0011900072,20191017/PORDEN,2019-10-17,DEN,110,POR,104,NA
0011900073,20191017/DALLAC,2019-10-17,LAC,87,DAL,102,NBA TV
0011900074,20191018/WASPHI,2019-10-18,PHI,93,WAS,112,NA
0011900075,20191018/TORBKN,2019-10-18,BKN,107,TOR,123,NA
0011900076,20191018/HOUMIA,2019-10-18,MIA,133,HOU,144,NA
0011900077,20191018/NOPNYK,2019-10-18,NYK,116,NOP,117,TNT
0011900078,20191018/MEMSAS,2019-10-18,SAS,104,MEM,91,NA
0011900079,20191018/LALGSW,2019-10-18,GSW,124,LAL,103,NBA TV
0021900001,20191022/NOPTOR,2019-10-22,TOR,130,NOP,122,TNT
0021900002,20191022/LALLAC,2019-10-22,LAC,112,LAL,102,TNT
0021900003,20191023/CHICHA,2019-10-23,CHA,126,CHI,125,NA
0021900004,20191023/DETIND,2019-10-23,IND,110,DET,119,NA
0021900005,20191023/CLEORL,2019-10-23,ORL,94,CLE,85,NA
0021900006,20191023/MINBKN,2019-10-23,BKN,126,MIN,127,NA
0021900007,20191023/MEMMIA,2019-10-23,MIA,120,MEM,101,NA
0021900008,20191023/BOSPHI,2019-10-23,PHI,107,BOS,93,ESPN
0021900009,20191023/WASDAL,2019-10-23,DAL,108,WAS,100,NA
0021900010,20191023/NYKSAS,2019-10-23,SAS,120,NYK,111,NA
0021900011,20191023/OKCUTA,2019-10-23,UTA,100,OKC,95,NA
0021900012,20191023/SACPHX,2019-10-23,PHX,124,SAC,95,NA
0021900013,20191023/DENPOR,2019-10-23,POR,100,DEN,108,ESPN
0021900014,20191024/ATLDET,2019-10-24,DET,100,ATL,117,NA
0021900015,20191024/MILHOU,2019-10-24,HOU,111,MIL,117,TNT
0021900016,20191024/LACGSW,2019-10-24,GSW,122,LAC,141,TNT
0021900017,20191025/TORBOS,2019-10-25,BOS,112,TOR,106,NA
0021900018,20191025/MINCHA,2019-10-25,CHA,99,MIN,121,NA
0021900019,20191025/NYKBKN,2019-10-25,BKN,113,NYK,109,NA
0021900020,20191025/CHIMEM,2019-10-25,MEM,102,CHI,110,NA
0021900021,20191025/DALNOP,2019-10-25,NOP,116,DAL,123,ESPN
0021900022,20191025/WASOKC,2019-10-25,OKC,85,WAS,97,NA
0021900023,20191025/PHXDEN,2019-10-25,DEN,108,PHX,107,NA
0021900024,20191025/PORSAC,2019-10-25,SAC,112,POR,122,NA
0021900025,20191025/UTALAL,2019-10-25,LAL,95,UTA,86,ESPN
0021900026,20191026/MIAMIL,2019-10-26,MIL,126,MIA,131,NBA TV
0021900027,20191026/PHIDET,2019-10-26,DET,111,PHI,117,NA
0021900028,20191026/ORLATL,2019-10-26,ATL,103,ORL,99,NA
0021900029,20191026/BOSNYK,2019-10-26,NYK,95,BOS,118,NBA TV
0021900030,20191026/INDCLE,2019-10-26,CLE,110,IND,99,NA
0021900031,20191026/TORCHI,2019-10-26,CHI,84,TOR,108,NA
0021900032,20191026/NOPHOU,2019-10-26,HOU,126,NOP,123,NA
0021900033,20191026/WASSAS,2019-10-26,SAS,124,WAS,122,NA
0021900034,20191026/SACUTA,2019-10-26,UTA,113,SAC,81,NA
0021900035,20191026/LACPHX,2019-10-26,PHX,130,LAC,122,NBA TV
0021900036,20191027/GSWOKC,2019-10-27,OKC,120,GSW,92,NA
0021900037,20191027/BKNMEM,2019-10-27,MEM,134,BKN,133,NA
0021900038,20191027/PORDAL,2019-10-27,DAL,119,POR,121,NA
0021900039,20191027/MIAMIN,2019-10-27,MIN,116,MIA,109,NA
0021900040,20191027/CHALAL,2019-10-27,LAL,120,CHA,101,NA
0021900041,20191028/INDDET,2019-10-28,DET,96,IND,94,NA
0021900042,20191028/CHINYK,2019-10-28,NYK,105,CHI,98,NA
0021900043,20191028/PHIATL,2019-10-28,ATL,103,PHI,105,NA
0021900044,20191028/ORLTOR,2019-10-28,TOR,104,ORL,95,NA
0021900045,20191028/OKCHOU,2019-10-28,HOU,116,OKC,112,NA
0021900046,20191028/CLEMIL,2019-10-28,MIL,129,CLE,112,NA
0021900047,20191028/GSWNOP,2019-10-28,NOP,123,GSW,134,NBA TV
0021900048,20191028/PORSAS,2019-10-28,SAS,113,POR,110,NA
0021900049,20191028/UTAPHX,2019-10-28,PHX,95,UTA,96,NA
0021900050,20191028/DENSAC,2019-10-28,SAC,94,DEN,101,NA
0021900051,20191028/CHALAC,2019-10-28,LAC,111,CHA,96,NBA TV
0021900052,20191029/ATLMIA,2019-10-29,MIA,112,ATL,97,NBA TV
0021900053,20191029/DALDEN,2019-10-29,DEN,106,DAL,109,NA
0021900054,20191029/MEMLAL,2019-10-29,LAL,120,MEM,91,NBA TV
