gid,gcode,date,home,home_score,away,away_score,national_tv
0012200001,20220930/GSWWAS,2022-09-30,WAS,87,GSW,96,NBA TV
0012200002,20220930/MRALAC,2022-09-30,LAC,121,MRA,81,NBA TV
0012200003,20221001/MEMMIL,2022-10-01,MIL,102,MEM,107,NBA TV
0012200004,20221002/WASGSW,2022-10-02,GSW,104,WAS,95,NBA TV
0012200005,20221002/CHABOS,2022-10-02,BOS,134,CHA,93,NBA TV
0012200006,20221002/UTATOR,2022-10-02,TOR,114,UTA,82,NBA TV
0012200007,20221002/SASHOU,2022-10-02,HOU,134,SAS,96,NA
0012200008,20221002/ADLPHX,2022-10-02,PHX,124,ADL,134,NBA TV
0012200009,20221003/PHIBKN,2022-10-03,BKN,108,PHI,127,NBA TV
0012200010,20221003/ORLMEM,2022-10-03,MEM,109,ORL,97,NA
0012200011,20221003/OKCDEN,2022-10-03,DEN,101,OKC,112,NA
0012200012,20221003/SACLAL,2022-10-03,LAL,75,SAC,105,NBA TV
0012200013,20221003/PORLAC,2022-10-03,LAC,102,POR,97,NA
0012200014,20221004/DETNYK,2022-10-04,NYK,117,DET,96,TNT
0012200015,20221004/MINMIA,2022-10-04,MIA,111,MIN,121,NA
0012200016,20221004/NOPCHI,2022-10-04,CHI,125,NOP,129,TNT
0012200017,20221004/UTAPOR,2022-10-04,POR,101,UTA,118,NA
0012200018,20221005/INDCHA,2022-10-05,CHA,97,IND,122,NA
0012200019,20221005/CLEPHI,2022-10-05,PHI,113,CLE,112,NBA TV
0012200020,20221005/TORBOS,2022-10-05,BOS,119,TOR,125,NA
0012200021,20221005/DALOKC,2022-10-05,OKC,96,DAL,98,NA
0012200022,20221005/PHXLAL,2022-10-05,LAL,115,PHX,119,NBA TV
0012200023,20221006/MILATL,2022-10-06,ATL,123,MIL,113,NBA TV
0012200024,20221006/MIABKN,2022-10-06,BKN,80,MIA,109,ESPN
0012200025,20221006/ADLOKC,2022-10-06,OKC,131,ADL,98,NA
0012200026,20221006/ORLSAS,2022-10-06,SAS,99,ORL,102,NA
0012200027,20221006/MRAPOR,2022-10-06,POR,138,MRA,85,NA
0012200028,20221006/MINLAL,2022-10-06,LAL,99,MIN,114,ESPN
0012200029,20221007/BOSCHA,2022-10-07,CHA,103,BOS,112,NA
0012200030,20221007/INDNYK,2022-10-07,NYK,131,IND,114,NA
0012200031,20221007/DENCHI,2022-10-07,CHI,131,DEN,113,NA
0012200032,20221007/TORHOU,2022-10-07,HOU,116,TOR,100,NA
0012200033,20221007/MIAMEM,2022-10-07,MEM,108,MIA,111,NBA TV
0012200034,20221007/DETNOP,2022-10-07,NOP,107,DET,101,NA
0012200035,20221007/ORLDAL,2022-10-07,DAL,105,ORL,110,NA
0012200036,20221008/ATLMIL,2022-10-08,MIL,109,ATL,118,NBA TV
0012200037,20221009/CHITOR,2022-10-09,TOR,98,CHI,115,NBA TV
0012200038,20221009/MRAOKC,2022-10-09,OKC,144,MRA,97,NA
0012200039,20221009/NOPSAS,2022-10-09,SAS,97,NOP,111,NA
0012200040,20221009/LALGSW,2022-10-09,GSW,121,LAL,124,NBA TV
0012200041,20221009/PORSAC,2022-10-09,SAC,126,POR,94,NA
0012200042,20221009/MINLAC,2022-10-09,LAC,117,MIN,119,NA
0012200043,20221010/WASCHA,2022-10-10,CHA,107,WAS,116,NA
0012200044,20221010/PHICLE,2022-10-10,CLE,97,PHI,113,NBA TV
0012200045,20221010/HOUMIA,2022-10-10,MIA,118,HOU,110,NA
0012200046,20221010/PHXDEN,2022-10-10,DEN,107,PHX,105,NA
0012200047,20221011/OKCDET,2022-10-11,DET,99,OKC,115,NA
0012200048,20221011/MEMORL,2022-10-11,ORL,109,MEM,105,NBA TV
0012200049,20221011/MILCHI,2022-10-11,CHI,127,MIL,104,NA
0012200050,20221011/SASUTA,2022-10-11,UTA,104,SAS,111,NA
0012200051,20221011/PORGSW,2022-10-11,GSW,131,POR,98,NBA TV
0012200052,20221012/ATLCLE,2022-10-12,CLE,105,ATL,99,NA
0012200053,20221012/NYKIND,2022-10-12,IND,109,NYK,100,NA
0012200054,20221012/CHAPHI,2022-10-12,PHI,99,CHA,94,NA
0012200055,20221012/NOPMIA,2022-10-12,MIA,120,NOP,103,NA
0012200056,20221012/BKNMIL,2022-10-12,MIL,97,BKN,107,ESPN
0012200057,20221012/MINLAL,2022-10-12,LAL,113,MIN,118,ESPN
0012200058,20221012/SACPHX,2022-10-12,PHX,104,SAC,105,NA
0012200059,20221012/DENLAC,2022-10-12,LAC,115,DEN,126,NA
0012200060,20221013/MEMDET,2022-10-13,DET,111,MEM,126,NBA TV
0012200061,20221013/OKCSAS,2022-10-13,SAS,112,OKC,118,NA
0012200062,20221014/HOUIND,2022-10-14,IND,114,HOU,122,NA
0012200063,20221014/CLEORL,2022-10-14,ORL,114,CLE,108,NA
0012200064,20221014/BOSTOR,2022-10-14,TOR,137,BOS,134,NBA TV
0012200065,20221014/WASNYK,2022-10-14,NYK,105,WAS,89,NA
0012200066,20221014/BKNMIN,2022-10-14,MIN,102,BKN,112,NA
0012200067,20221014/ATLNOP,2022-10-14,NOP,120,ATL,111,NA
0012200068,20221014/DALUTA,2022-10-14,UTA,101,DAL,115,NA
0012200069,20221014/DENGSW,2022-10-14,GSW,112,DEN,119,ESPN2
0012200070,20221014/LALSAC,2022-10-14,SAC,133,LAL,86,NA
0022200001,20221018/PHIBOS,2022-10-18,BOS,126,PHI,117,TNT
0022200002,20221018/LALGSW,2022-10-18,GSW,123,LAL,109,TNT
0022200003,20221019/ORLDET,2022-10-19,DET,113,ORL,109,NA
0022200004,20221019/WASIND,2022-10-19,IND,107,WAS,114,NA
0022200005,20221019/HOUATL,2022-10-19,ATL,117,HOU,107,NA
0022200006,20221019/NOPBKN,2022-10-19,BKN,108,NOP,130,NA
0022200007,20221019/CHIMIA,2022-10-19,MIA,108,CHI,116,NA
0022200008,20221019/CLETOR,2022-10-19,TOR,108,CLE,105,NA
0022200009,20221019/NYKMEM,2022-10-19,MEM,115,NYK,112,ESPN
0022200010,20221019/OKCMIN,2022-10-19,MIN,115,OKC,108,NA
0022200011,20221019/CHASAS,2022-10-19,SAS,102,CHA,129,NA
0022200012,20221019/DENUTA,2022-10-19,UTA,123,DEN,102,NA
0022200013,20221019/DALPHX,2022-10-19,PHX,107,DAL,105,ESPN
0022200014,20221019/PORSAC,2022-10-19,SAC,108,POR,115,NA
0022200015,20221020/MILPHI,2022-10-20,PHI,88,MIL,90,TNT
0022200016,20221020/LACLAL,2022-10-20,LAL,97,LAC,103,TNT
0022200017,20221021/NOPCHA,2022-10-21,CHA,112,NOP,124,NA
0022200018,20221021/SASIND,2022-10-21,IND,134,SAS,137,NA
0022200019,20221021/CHIWAS,2022-10-21,WAS,102,CHI,100,NA
0022200020,20221021/ORLATL,2022-10-21,ATL,108,ORL,98,NA
0022200021,20221021/TORBKN,2022-10-21,BKN,109,TOR,105,NA
0022200022,20221021/BOSMIA,2022-10-21,MIA,104,BOS,111,ESPN
0022200023,20221021/DETNYK,2022-10-21,NYK,130,DET,106,NA
0022200024,20221021/MEMHOU,2022-10-21,HOU,122,MEM,129,NA
0022200025,20221021/UTAMIN,2022-10-21,MIN,126,UTA,132,NA
0022200026,20221021/DENGSW,2022-10-21,GSW,123,DEN,128,ESPN
0022200027,20221021/PHXPOR,2022-10-21,POR,113,PHX,111,NA
0022200028,20221022/SASPHI,2022-10-22,PHI,105,SAS,114,NBA TV
0022200029,20221022/DETIND,2022-10-22,IND,124,DET,115,NA
0022200030,20221022/BOSORL,2022-10-22,ORL,120,BOS,126,NA
0022200031,20221022/TORMIA,2022-10-22,MIA,112,TOR,109,NA
0022200032,20221022/CLECHI,2022-10-22,CHI,96,CLE,128,NA
