season,Referee,Games,var,val,league_avg,z,season_alpha
2017,Aaron Smith,53,Total fouls,9.754716981132075,14.167122806125132,-3.0691798776943666,2016-2017
2017,Aaron Smith,53,Technical,0.2830188679245283,0.19940232452418222,0.8112588385757928,2016-2017
2017,Aaron Smith,53,Shooting,4.943396226415095,6.3018660044782475,-1.9563237011773558,2016-2017
2017,Aaron Smith,53,Personal,2.6792452830188678,4.089363112506989,-2.1000033490285626,2016-2017
2017,Aaron Smith,53,Loose ball,0.37735849056603776,0.833800332042201,-1.681809049012279,2016-2017
2017,Aaron Smith,53,Offensive charge,0.16981132075471697,0.365586190149345,-2.0895054314167756,2016-2017
2017,Aaron Smith,53,Offensive,0.1509433962264151,0.6976191040679741,-2.1914717317766756,2016-2017
2017,Aaron Smith,53,Defensive goaltending,0.1320754716981132,0.13753421570123256,-0.08725443354901491,2016-2017
2017,Aaron Smith,53,Defensive 3 seconds,0.05660377358490566,0.1498803638082069,-1.0566152996865465,2016-2017
2017,Ben Taylor,51,Total fouls,15.666666666666666,14.167122806125132,1.0430522542657206,2016-2017
2017,Ben Taylor,51,Technical,0.43137254901960786,0.19940232452418222,2.250606007561251,2016-2017
2017,Ben Taylor,51,Shooting,6.411764705882353,6.3018660044782475,0.1582644220410992,2016-2017
2017,Ben Taylor,51,Personal,4.352941176470588,4.089363112506989,0.39253089740376534,2016-2017
2017,Ben Taylor,51,Loose ball,1.2352941176470589,0.833800332042201,1.4793470282406365,2016-2017
2017,Ben Taylor,51,Offensive charge,0.23529411764705882,0.365586190149345,-1.3906074564417288,2016-2017
2017,Ben Taylor,51,Offensive,1.0196078431372548,0.6976191040679741,1.2907638102427894,2016-2017
2017,Ben Taylor,51,Defensive goaltending,0.29411764705882354,0.13753421570123256,2.5028831904299382,2016-2017
2017,Ben Taylor,51,Defensive 3 seconds,0.11764705882352941,0.1498803638082069,-0.3651313059872643,2016-2017
2017,Bennie Adams,59,Total fouls,16.152542372881356,14.167122806125132,1.3810175275703387,2016-2017
2017,Bennie Adams,59,Technical,0.3389830508474576,0.19940232452418222,1.3542307935694615,2016-2017
2017,Bennie Adams,59,Shooting,6.220338983050848,6.3018660044782475,-0.11740654586531532,2016-2017
2017,Bennie Adams,59,Personal,5.11864406779661,4.089363112506989,1.5328459849232263,2016-2017
2017,Bennie Adams,59,Loose ball,1.1016949152542372,0.833800332042201,0.9870864002526033,2016-2017
2017,Bennie Adams,59,Offensive charge,0.4406779661016949,0.365586190149345,0.8014546207710156,2016-2017
2017,Bennie Adams,59,Offensive,0.9152542372881356,0.6976191040679741,0.8724390629621042,2016-2017
2017,Bennie Adams,59,Defensive goaltending,0.0847457627118644,0.13753421570123256,-0.8437887105319549,2016-2017
2017,Bennie Adams,59,Defensive 3 seconds,0.1694915254237288,0.1498803638082069,0.2221506313425422,2016-2017
2017,Bill Kennedy,65,Total fouls,13.23076923076923,14.167122806125132,-0.6513085300566234,2016-2017
2017,Bill Kennedy,65,Technical,0.15384615384615385,0.19940232452418222,-0.4419920342469564,2016-2017
2017,Bill Kennedy,65,Shooting,6.015384615384615,6.3018660044782475,-0.41256002929203944,2016-2017
2017,Bill Kennedy,65,Personal,3.6769230769230767,4.089363112506989,-0.6142220443479413,2016-2017
2017,Bill Kennedy,65,Loose ball,0.6615384615384615,0.833800332042201,-0.6347173862852363,2016-2017
2017,Bill Kennedy,65,Offensive charge,0.36923076923076925,0.365586190149345,0.03889859719693353,2016-2017
2017,Bill Kennedy,65,Offensive,0.8,0.6976191040679741,0.4104166987680222,2016-2017
2017,Bill Kennedy,65,Defensive goaltending,0.24615384615384617,0.13753421570123256,1.7362133710667265,2016-2017
2017,Bill Kennedy,65,Defensive 3 seconds,0.24615384615384617,0.1498803638082069,1.0905633895598126,2016-2017
2017,Bill Spooner,58,Total fouls,11.46551724137931,14.167122806125132,-1.8791819623250658,2016-2017
2017,Bill Spooner,58,Technical,0.1896551724137931,0.19940232452418222,-0.09456816772054154,2016-2017
2017,Bill Spooner,58,Shooting,4.913793103448276,6.3018660044782475,-1.998954970583603,2016-2017
2017,Bill Spooner,58,Personal,2.8275862068965516,4.089363112506989,-1.8790881670297583,2016-2017
2017,Bill Spooner,58,Loose ball,0.7586206896551724,0.833800332042201,-0.2770074769199591,2016-2017
2017,Bill Spooner,58,Offensive charge,0.43103448275862066,0.365586190149345,0.6985297107177555,2016-2017
2017,Bill Spooner,58,Offensive,0.7413793103448276,0.6976191040679741,0.17542256525551495,2016-2017
2017,Bill Spooner,58,Defensive goaltending,0.10344827586206896,0.13753421570123256,-0.5448413354706627,2016-2017
2017,Bill Spooner,58,Defensive 3 seconds,0.1206896551724138,0.1498803638082069,-0.33066548937341284,2016-2017
2017,Brent Barnaky,68,Total fouls,13.941176470588236,14.167122806125132,-0.15716368212112797,2016-2017
2017,Brent Barnaky,68,Technical,0.19117647058823528,0.19940232452418222,-0.07980833025373309,2016-2017
2017,Brent Barnaky,68,Shooting,5.970588235294118,6.3018660044782475,-0.47707101180571576,2016-2017
2017,Brent Barnaky,68,Personal,3.735294117647059,4.089363112506989,-0.5272935774898618,2016-2017
2017,Brent Barnaky,68,Loose ball,0.9558823529411765,0.833800332042201,0.4498243342582024,2016-2017
2017,Brent Barnaky,68,Offensive charge,0.5294117647058824,0.365586190149345,1.748510566751279,2016-2017
2017,Brent Barnaky,68,Offensive,0.8970588235294118,0.6976191040679741,0.7994986810716026,2016-2017
2017,Brent Barnaky,68,Defensive goaltending,0.19117647058823528,0.13753421570123256,0.8574361724570071,2016-2017
